"date","Total","Nucleation","Aitken","Accumulation","T.gDp","N.gDp","A.gDp","Acc.gDp","clearsky.mark","SRAD","SRAD.clearsky","clearsky.id","ws","wd","temperature","RH","pressure","RAIN.F","so2","o3","co","no2","A_fuchs","air_mfp","air_vis","coagN2_10to25","CoagS_1.75to25","CoagS_1.75to3","CoagS_3to25","CoagS_3to7","CoagS_7to25","CoagSrc_1.75to25","CoagSrc_1.75to3","CoagSrc_3to25","CoagSrc_3to7","CoagSrc_7to25","CS","CS.const","Cv_10to25","D.h2so4","dmax_h2so4","GR_10to25","GR_coag_1.75to25","GR_coag_1.75to3","GR_coag_3to25","GR_coag_3to7","GR_coag_7to25","GR_coagS_coagSrc_1.75to25","GR_coagS_coagSrc_1.75to3","GR_coagS_coagSrc_3to25","GR_coagS_coagSrc_3to7","GR_coagS_coagSrc_7to25","GR_h2so4_1.75to25","GR_h2so4_1.75to3","GR_h2so4_1.75to3_day","GR_h2so4_3to25","GR_h2so4_3to7","GR_h2so4_7to25","GR_model_1.75to25","GR_model_1.75to3","GR_model_3to25","GR_model_3to7","GR_model_7to25","h2so4_proxy","J_1.75to3_by_J_10to25_GR_10to25","J_1.75to3_by_J_10to25_GR_h2so4_1.75to3","J_10to25","J_1to3_by_J_10to25_GR_10to25","J_1to3_by_J_10to25_GR_h2so4_1.75to3","net_coagS_10to25","net_dNdt_10to25","net_GR_10to25","P_10to25","Q_10to25","so2_molec","so2_ug","sp_10to25","c_mu","b11","M","A","k","h2so4_const","L_gamma","L","gamma","gam_N1","OxOrg_capacity","OxOrg_a-phellandrene","OxOrg_a-pinene","OxOrg_a-terpinene","OxOrg_b-phellandrene","OxOrg_b-pinene","OxOrg_limonene","OxOrg_terpinolene","OxOrg_y-terpinene","I","n","gamma_T","exp_Gibbs","gamma_T_const","MT_ppb_proxy","MT_molec_proxy","OxOrg_molec_proxy_Yli","OxOrg_molec_proxy_Dunne","OH_molec_proxy","pm25","pm10","HOM_molec_proxy"
2014-12-01 02:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2.9,320,9.2,83,1003.6,1,5,32,800,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
2014-12-01 02:45:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2.9,320,9.2,83,1003.6,1,5,32,800,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA
2014-12-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.1,340,8.7,70,1003.9,NA,6,32,700,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
2014-12-01 03:15:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.1,340,8.7,70,1003.9,NA,6,32,700,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
2014-12-01 03:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.1,340,8.7,70,1003.9,NA,6,32,700,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
2014-12-01 03:45:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.1,340,8.7,70,1003.9,NA,6,32,700,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
2014-12-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.9,320,8.2,60,1004.5,NA,5,34,600,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
2014-12-01 04:15:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.9,320,8.2,60,1004.5,NA,5,34,600,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
2014-12-01 04:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.9,320,8.2,60,1004.5,NA,5,34,600,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
2014-12-01 04:45:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,4.9,320,8.2,60,1004.5,NA,5,34,600,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
2014-12-01 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,3.2,360,7.3,53,1004.8,0,5,38,500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
2014-12-01 05:15:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,3.2,360,7.3,53,1004.8,0,5,38,500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
2014-12-01 05:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,3.2,360,7.3,53,1004.8,0,5,38,500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
2014-12-01 05:45:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,3.2,360,7.3,53,1004.8,0,5,38,500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
2014-12-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2.3,320,7.2,51,1005.1,NA,4,38,400,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
2014-12-01 06:15:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2.3,320,7.2,51,1005.1,NA,4,38,400,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
2014-12-01 06:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2.3,320,7.2,51,1005.1,NA,4,38,400,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
2014-12-01 06:45:00,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2.3,320,7.2,51,1005.1,NA,4,38,400,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
2014-12-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,8.3,NA,NA,1.7,270,6.3,71,1005.7,NA,4,34,400,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
2014-12-01 07:15:00,NA,NA,NA,NA,NA,NA,NA,NA,1,8.3,NA,NA,1.7,270,6.3,71,1005.7,NA,4,34,400,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
2014-12-01 07:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,8.3,NA,NA,1.7,270,6.3,71,1005.7,NA,4,34,400,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
2014-12-01 07:45:00,NA,NA,NA,NA,NA,NA,NA,NA,1,8.3,10.4313260568997,0.8,1.7,270,6.3,71,1005.7,NA,4,34,400,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
2014-12-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,63.9,35.172499137025,1,2,320,5.3,80,1006.3,0.5,4,32,400,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
2014-12-01 08:15:00,NA,NA,NA,NA,NA,NA,NA,NA,1,63.9,65.1067199526588,0.98,2,320,5.3,80,1006.3,0.5,4,32,400,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
2014-12-01 08:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,63.9,98.1458185603641,0.65,2,320,5.3,80,1006.3,0.5,4,32,400,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
